rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1,0,29.1963,14.6978,10.5843,18.7142,1.0414,1.0027,1.0263,0.9114,39.06,-17.631,53.158
2,0,10.6006,7.2685,4.3138,11.6322,1.0805,1.0047,1.0522,0.8698,38.61,-17.453,52.326
3,0,3.6272,3.1696,4.0085,8.7576,1.1156,1.0073,1.0771,0.8579,37.92,-17.091,52.131
4,0,1.7831,2.0394,3.7948,8.0437,1.1497,1.0076,1.1014,0.8463,37.34,-16.276,52.153
5,0,0.5457,0.8457,3.7948,7.2295,1.1827,1.0072,1.125,0.8385,36.73,-15.757,51.91
6,0,0.2081,0.5081,3.7948,7.3212,1.2149,1.0058,1.1478,0.832,36.07,-15.386,51.76
7,1,0.0,0.0272,3.7948,6.837,1.2462,1.0032,1.1698,0.8322,35.45,-14.853,51.772
8,0,0.0107,0.3107,3.7948,7.0568,1.2769,1.0001,1.1911,0.8346,34.74,-14.656,51.844
9,0,0.1824,0.4824,3.7948,7.037,1.3069,0.9965,1.2113,0.8372,33.95,-14.488,51.874
10,0,0.1261,0.4261,3.7948,6.9967,1.3362,0.9921,1.231,0.8372,33.41,-14.327,51.892
11,0,0.086,0.386,3.7948,6.9489,1.3646,0.9876,1.2496,0.8364,32.61,-13.902,51.872
12,0,0.0311,0.3311,3.7948,6.9177,1.3925,0.9828,1.2678,0.8364,32.18,-13.519,51.873
13,1,0.0,0.1088,3.7948,6.8108,1.4192,0.9777,1.2849,0.8332,31.26,-13.273,51.802
14,1,0.0,0.0,3.7948,6.7455,1.4452,0.9723,1.3012,0.8308,30.58,-12.773,51.746
15,1,0.0,0.0,3.7948,6.782,1.4714,0.967,1.3174,0.8317,30.48,-12.883,51.75
16,1,0.0,0.0541,3.7948,6.7031,1.4961,0.9616,1.3325,0.8316,29.61,-12.502,51.754
17,1,0.0,0.1554,3.7948,6.8218,1.5201,0.9561,1.3469,0.8335,29.04,-11.779,51.801
18,1,0.0,0.2568,3.7948,6.929,1.5426,0.9505,1.3604,0.8352,28.14,-11.212,51.842
19,1,0.0,0.0409,3.7948,6.7208,1.5637,0.945,1.3727,0.8307,27.22,-10.019,51.753
20,1,0.0,0.0438,3.7948,6.6934,1.5835,0.9393,1.3842,0.8307,26.59,-8.905,51.753
21,1,0.0,0.0212,3.7948,6.7005,1.6025,0.9334,1.3951,0.8307,26.03,-7.934,51.753
22,1,0.0,0.0309,3.7948,6.7101,1.6212,0.9275,1.4056,0.8307,25.66,-7.402,51.753
23,1,0.0,0.0212,3.7948,6.6882,1.6384,0.9217,1.4151,0.8307,24.95,-6.563,51.753
24,1,0.0,0.0112,3.7948,6.6788,1.6547,0.9157,1.4243,0.8313,24.59,-5.514,51.754
25,1,0.0,0.0,3.7948,6.6684,1.669,0.9096,1.4325,0.83,23.75,-4.151,51.744
26,1,0.0,0.0,3.7948,6.6674,1.6826,0.9036,1.4402,0.83,23.33,-3.041,51.744
27,1,0.0,0.0131,3.7948,6.6777,1.6964,0.8975,1.4477,0.8313,23.17,-2.734,51.754
28,1,0.0,0.0,3.7948,6.6632,1.7084,0.8913,1.4544,0.8307,22.51,-1.881,51.753
29,1,0.0,0.0,3.7948,6.6684,1.7195,0.8854,1.4607,0.8307,22.11,-0.494,51.753
30,1,0.0,0.0,3.7948,6.6632,1.7295,0.8792,1.4663,0.8307,21.58,0.814,51.753
31,1,0.0,0.0,3.7948,6.6632,1.7402,0.8732,1.472,0.8307,21.67,1.255,51.753
32,1,0.0,0.0,3.7948,6.6632,1.7479,0.8673,1.4766,0.8307,20.69,2.083,51.753
33,1,0.0,0.0,3.7948,6.6581,1.7561,0.8613,1.4812,0.8294,20.78,3.288,51.743
34,1,0.0,0.0,3.7948,6.6581,1.7642,0.8553,1.4855,0.8294,20.48,3.14,51.743
35,1,0.0,0.0,3.7948,6.6632,1.7711,0.8493,1.4891,0.8307,19.89,3.889,51.753
36,1,0.0,0.0,3.7948,6.6632,1.7765,0.8432,1.4922,0.8307,19.4,5.433,51.753
37,1,0.0,0.0,3.7948,6.6674,1.7803,0.8371,1.4946,0.8307,18.9,6.869,51.753
38,1,0.0,0.0,3.7948,6.6674,1.7853,0.8311,1.4971,0.8307,18.99,6.987,51.753
39,1,0.0,0.0,3.7948,6.6674,1.7888,0.8251,1.4992,0.8307,18.62,7.349,51.753
40,1,0.0,0.0,3.7948,6.6674,1.7926,0.8191,1.5012,0.8307,18.5,8.162,51.753
41,1,0.0,0.0,3.7948,6.6674,1.7956,0.813,1.5029,0.8307,18.26,8.655,51.753
42,1,0.0,0.0,3.7948,6.6632,1.799,0.8069,1.5045,0.8307,18.25,8.937,51.753
43,1,0.0,0.0,3.7948,6.6674,1.8015,0.8008,1.5058,0.8307,17.93,9.131,51.753
44,1,0.0,0.0,3.7948,6.6623,1.8043,0.7946,1.5068,0.8294,17.76,9.746,51.743
45,1,0.0,0.0,3.7948,6.6623,1.8063,0.7883,1.5076,0.8294,17.53,10.216,51.743
46,1,0.0,0.0,3.7948,6.6529,1.8082,0.7819,1.5082,0.8294,17.34,10.793,51.743
47,1,0.0,0.0,3.7948,6.6623,1.8096,0.7756,1.5085,0.8294,17.1,11.113,51.743
48,1,0.0,0.0,3.7948,6.6614,1.8115,0.7694,1.5088,0.8294,17.16,11.107,51.743
49,1,0.0,0.003,3.7948,6.6717,1.8129,0.7629,1.5089,0.8307,16.97,11.156,51.753
50,1,0.0,0.0,3.7948,6.6665,1.8143,0.7566,1.509,0.8307,16.89,11.54,51.753
51,1,0.0,0.0,3.7948,6.6623,1.8155,0.7503,1.5088,0.8307,16.75,11.521,51.753
52,1,0.0,0.0,3.7948,6.6623,1.8163,0.744,1.5085,0.8316,16.57,11.794,51.799
53,1,0.0,0.0,3.7948,6.6708,1.8169,0.7378,1.5081,0.8317,16.55,12.302,51.816
54,1,0.0,0.0,3.7948,6.6751,1.8173,0.7316,1.5073,0.8317,16.29,12.856,51.816
55,1,0.0,0.0,3.7948,6.6743,1.8176,0.7253,1.5066,0.8304,16.27,13.345,51.806
56,1,0.0,0.0,3.7948,6.6743,1.8181,0.719,1.5057,0.8304,16.15,13.117,51.806
57,1,0.0,0.0,3.7948,6.6743,1.8185,0.7127,1.5049,0.8304,16.19,13.034,51.806
58,1,0.0,0.0,3.7948,6.6743,1.8188,0.7065,1.504,0.8304,16.13,13.302,51.806
59,1,0.0,0.0,3.7948,6.6659,1.8192,0.7003,1.5029,0.8303,16.01,13.571,51.789
60,1,0.0,0.0,3.7948,6.6667,1.8195,0.694,1.5017,0.8316,15.86,13.547,51.799
61,1,0.0,0.0,3.7948,6.6623,1.8197,0.6878,1.5006,0.8316,15.94,13.332,51.799
62,1,0.0,0.0,3.7948,6.6572,1.8196,0.6816,1.4993,0.8303,15.85,13.909,51.789
63,1,0.0,0.0,3.7948,6.6703,1.8195,0.6753,1.4982,0.8303,15.95,14.306,51.789
64,1,0.0,0.0,3.7948,6.6615,1.8194,0.669,1.497,0.8303,15.88,14.174,51.789
65,1,0.0,0.0,3.7948,6.6742,1.8193,0.6627,1.4957,0.8303,15.8,14.114,51.789
66,1,0.0,0.0,3.7948,6.6825,1.8194,0.6563,1.4944,0.8305,15.83,14.056,51.79
67,1,0.0,0.0,3.7948,6.6781,1.8194,0.6499,1.4932,0.8305,15.84,14.458,51.79
68,1,0.0,0.0,3.7948,6.7005,1.8194,0.6434,1.4919,0.8318,15.82,14.284,51.801
69,1,0.0,0.0,3.7948,6.6958,1.8194,0.637,1.4905,0.8318,15.75,14.32,51.801
70,1,0.0,0.0,3.7948,6.6958,1.8197,0.6305,1.4893,0.8318,15.9,14.225,51.801
71,1,0.0,0.0,3.7948,6.7126,1.8198,0.6239,1.4882,0.8325,15.9,14.055,51.806
72,1,0.0,0.0,3.7948,6.742,1.8201,0.6173,1.487,0.8328,15.94,14.432,51.825
73,1,0.0,0.0,3.7948,6.7328,1.8199,0.6107,1.4858,0.8315,15.89,14.487,51.815
74,1,0.0,0.0,3.7948,6.7411,1.82,0.6041,1.4847,0.8328,16.0,14.606,51.832
75,1,0.0,0.0,3.7948,6.7743,1.82,0.5975,1.4836,0.8342,15.96,14.514,51.842
76,1,0.0,0.0,3.7948,6.7826,1.8202,0.5909,1.4826,0.8329,16.04,14.647,51.832
77,1,0.0,0.0,3.7948,6.8008,1.8203,0.5842,1.4815,0.8342,15.98,14.549,51.842
78,1,0.0,0.0,3.7948,6.7954,1.8207,0.5775,1.4804,0.8321,16.02,14.508,51.829
79,1,0.0,0.0,3.7948,6.8044,1.8207,0.5708,1.4793,0.8323,15.94,14.528,51.85
80,1,0.0,0.0,3.7948,6.8259,1.8212,0.5641,1.4783,0.835,16.05,14.412,51.886
81,1,0.0,0.0,3.7948,6.8503,1.8215,0.5574,1.4773,0.8378,16.05,14.473,51.924
82,1,0.0,0.0,3.7948,6.8795,1.8218,0.5507,1.4763,0.8374,16.11,14.561,51.919
83,1,0.0,0.0,3.7948,6.8954,1.8221,0.5439,1.4754,0.8375,16.13,14.403,51.921
84,1,0.0,0.0,3.7948,6.9039,1.8225,0.5372,1.4745,0.8367,16.17,14.701,51.908
85,1,0.0,0.0,3.7948,6.9085,1.823,0.5305,1.4737,0.837,16.17,14.793,51.914
86,1,0.0,0.0,3.7948,6.9251,1.8236,0.5238,1.4729,0.8372,16.28,14.571,51.921
87,1,0.0,0.0,3.7948,6.9432,1.8239,0.517,1.4721,0.8376,16.21,14.631,51.926
88,1,0.0,0.0,3.7948,6.9591,1.8248,0.5103,1.4715,0.8382,16.39,14.307,51.955
89,1,0.0,0.0036,3.7948,6.9668,1.8254,0.5035,1.471,0.8377,16.4,14.288,51.931
90,1,0.0,0.0177,3.7948,6.9687,1.8262,0.4968,1.4704,0.8372,16.41,14.022,51.923
91,1,0.0,0.0177,3.7948,6.9773,1.8273,0.49,1.47,0.8365,16.55,13.58,51.913
92,1,0.0,0.0177,3.7948,6.99,1.8283,0.4833,1.4695,0.8367,16.51,13.65,51.915
93,1,0.0,0.0177,3.7948,6.9955,1.8295,0.4765,1.4691,0.8371,16.48,14.004,51.931
94,1,0.0,0.0177,3.7948,7.0017,1.8305,0.4698,1.4686,0.8371,16.48,14.058,51.931
95,1,0.0,0.0036,3.7948,7.0062,1.8321,0.463,1.4683,0.8368,16.61,13.715,51.925
96,1,0.0,0.0036,3.7948,7.0111,1.8338,0.4562,1.4681,0.8373,16.67,13.536,51.938
97,1,0.0,0.0177,3.7948,7.0203,1.8352,0.4495,1.4677,0.8368,16.58,13.858,51.925
98,1,0.0,0.0337,3.7948,7.0418,1.8366,0.4427,1.4673,0.8373,16.53,13.997,51.938
99,1,0.0,0.0389,3.7948,7.0469,1.838,0.436,1.4669,0.8373,16.56,14.038,51.944
100,1,0.0,0.0523,3.7948,7.0556,1.8389,0.4292,1.4666,0.8368,16.56,14.31,51.925
101,1,0.0,0.1142,3.7948,7.0634,1.8409,0.4224,1.4664,0.8368,16.73,14.299,51.925
102,1,0.0,0.1329,3.7948,7.0729,1.8429,0.4157,1.4662,0.8367,16.76,13.455,51.922
103,1,0.0,0.1735,3.7948,7.0831,1.8444,0.4089,1.4661,0.8381,16.71,13.668,51.94
