rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1,0,32.4763,14.6978,10.5843,18.7142,1.0419,1.0089,1.0278,0.9114,39.06,-17.631,53.158
2,0,11.6945,7.2685,4.3138,11.6322,1.0814,1.0172,1.0552,0.8698,38.61,-17.5,52.326
3,0,4.0205,2.9718,3.9689,8.5686,1.1169,1.026,1.0816,0.8576,37.9,-17.214,52.149
4,0,2.4013,1.9329,3.7948,7.9883,1.1515,1.0326,1.1074,0.8449,37.3,-16.474,52.133
5,0,0.5547,0.6747,3.7948,7.132,1.1849,1.0383,1.1324,0.8369,36.66,-15.997,51.915
6,0,0.229,0.349,3.7948,6.9614,1.2174,1.0432,1.1565,0.8348,35.99,-15.654,51.867
7,0,0.0114,0.1314,3.7948,6.8731,1.2492,1.0466,1.18,0.8341,35.4,-15.144,51.769
8,0,0.5125,0.6325,3.7948,7.1126,1.2803,1.0495,1.2026,0.8392,34.63,-14.945,51.898
9,0,0.3565,0.4765,3.7948,6.9789,1.3108,1.0518,1.2243,0.8377,33.9,-14.823,51.876
10,0,0.219,0.339,3.7948,6.9182,1.3406,1.0534,1.2454,0.8364,33.34,-14.758,51.872
11,0,0.3212,0.4412,3.7948,6.9836,1.3696,1.055,1.2656,0.8379,32.66,-14.469,51.876
12,0,0.2249,0.3449,3.7948,6.9509,1.3981,1.0562,1.2853,0.8375,32.2,-14.232,51.875
13,0,0.0929,0.2129,3.7948,6.8228,1.4253,1.0573,1.304,0.8337,31.3,-14.021,51.829
14,0,0.0207,0.1407,3.7948,6.7379,1.4519,1.058,1.3219,0.8315,30.72,-13.649,51.755
15,1,0.0,0.0591,3.7948,6.7088,1.4787,1.0588,1.3397,0.8311,30.57,-13.87,51.754
16,1,0.0,0.0,3.7948,6.6685,1.504,1.0595,1.3564,0.8294,29.66,-13.477,51.743
17,1,0.0,0.044,3.7948,6.7033,1.5285,1.0601,1.3723,0.8311,29.06,-12.728,51.754
18,0,0.0346,0.1546,3.7948,6.8941,1.5515,1.0607,1.3873,0.8343,28.2,-12.205,51.791
19,1,0.0,0.046,3.7948,6.7405,1.5731,1.0613,1.4011,0.8314,27.21,-11.056,51.757
20,1,0.0,0.0438,3.7948,6.7018,1.5934,1.0616,1.4142,0.8307,26.6,-9.929,51.753
21,1,0.0,0.0212,3.7948,6.6966,1.6131,1.0618,1.4267,0.8307,26.15,-9.085,51.753
22,1,0.0,0.0647,3.7948,6.7133,1.6325,1.062,1.4388,0.8307,25.77,-8.697,51.753
23,1,0.0,0.0647,3.7948,6.7133,1.6502,1.0622,1.4499,0.8307,24.98,-7.814,51.753
24,1,0.0,0.0647,3.7948,6.7133,1.6669,1.0623,1.4606,0.8307,24.58,-6.632,51.753
25,0,0.033,0.153,3.7948,6.8243,1.6817,1.0622,1.4703,0.8334,23.79,-5.342,51.829
26,1,0.0,0.0647,3.7948,6.733,1.6959,1.0623,1.4796,0.8307,23.42,-4.404,51.753
27,1,0.0,0.0489,3.7948,6.719,1.7103,1.0623,1.4887,0.8307,23.24,-4.157,51.753
28,0,0.0157,0.1357,3.7948,6.7795,1.7227,1.0622,1.4969,0.8331,22.49,-3.214,51.809
29,1,0.0,0.0054,3.7948,6.6808,1.7343,1.0623,1.5047,0.8307,22.16,-1.848,51.753
30,1,0.0,0.0054,3.7948,6.6726,1.7446,1.0622,1.5118,0.8307,21.57,-0.531,51.753
31,1,0.0,0.0,3.7948,6.6632,1.7557,1.0623,1.519,0.8307,21.69,-0.064,51.753
32,1,0.0,0.0,3.7948,6.6632,1.7639,1.0623,1.5251,0.8307,20.72,0.694,51.753
33,1,0.0,0.0,3.7948,6.6632,1.7726,1.0624,1.5314,0.8307,20.87,1.734,51.753
34,1,0.0,0.0,3.7948,6.6632,1.7814,1.0624,1.5373,0.8307,20.61,1.427,51.753
35,1,0.0,0.0041,3.7948,6.6679,1.7889,1.0625,1.5426,0.8307,20.04,2.083,51.753
36,1,0.0,0.0087,3.7948,6.6762,1.795,1.0625,1.5473,0.8307,19.51,3.622,51.753
37,1,0.0,0.0671,3.7948,6.6979,1.7993,1.0623,1.5514,0.8307,19.04,5.141,51.753
38,1,0.0,0.0671,3.7948,6.7017,1.8049,1.0623,1.5555,0.8307,19.05,5.255,51.753
39,1,0.0,0.0671,3.7948,6.7225,1.8089,1.0624,1.5591,0.8312,18.61,5.649,51.758
40,1,0.0,0.0421,3.7948,6.7274,1.813,1.0623,1.5625,0.8337,18.47,6.549,51.778
41,1,0.0,0.0,3.7948,6.6715,1.8164,1.0623,1.5656,0.8307,18.2,7.088,51.753
42,1,0.0,0.0,3.7948,6.6715,1.8202,1.0622,1.5687,0.8307,18.23,7.283,51.753
43,1,0.0,0.0211,3.7948,6.6926,1.8232,1.0621,1.5714,0.8307,17.89,7.41,51.753
44,1,0.0,0.0362,3.7948,6.7134,1.8264,1.062,1.574,0.8307,17.75,7.959,51.753
45,1,0.0,0.0362,3.7948,6.7209,1.8289,1.0618,1.5762,0.8311,17.47,8.405,51.757
46,1,0.0,0.0,3.7948,6.6909,1.8313,1.0615,1.5783,0.8307,17.34,8.962,51.753
47,1,0.0,0.0211,3.7948,6.7173,1.8331,1.0612,1.58,0.8311,17.05,9.204,51.757
48,1,0.0,0.003,3.7948,6.7043,1.8356,1.0611,1.5819,0.8311,17.19,9.123,51.757
49,1,0.0,0.0181,3.7948,6.7217,1.8375,1.0608,1.5834,0.8311,16.9,9.145,51.757
50,1,0.0,0.0181,3.7948,6.7171,1.8393,1.0605,1.5848,0.8311,16.77,9.564,51.757
51,1,0.0,0.0,3.7948,6.6906,1.8412,1.0602,1.5861,0.8311,16.7,9.447,51.757
52,1,0.0,0.003,3.7948,6.68,1.8423,1.06,1.587,0.8307,16.39,9.746,51.753
53,1,0.0,0.0,3.7948,6.658,1.8435,1.0598,1.5879,0.8307,16.4,10.287,51.753
54,1,0.0,0.0,3.7948,6.6729,1.8443,1.0595,1.5885,0.8308,16.12,10.803,51.755
55,1,0.0,0.0,3.7948,6.6775,1.8451,1.0592,1.5891,0.8308,16.1,11.27,51.755
56,1,0.0,0.0,3.7948,6.6616,1.846,1.0589,1.5895,0.8295,15.95,11.045,51.746
57,1,0.0,0.0,3.7948,6.6611,1.8467,1.0587,1.5899,0.8308,15.95,10.99,51.755
58,1,0.0,0.0,3.7948,6.6529,1.8475,1.0585,1.5902,0.8294,15.89,11.203,51.743
59,1,0.0,0.0,3.7948,6.6529,1.8483,1.0582,1.5904,0.8294,15.76,11.459,51.743
60,1,0.0,0.0,3.7948,6.6529,1.849,1.0578,1.5903,0.8294,15.57,11.434,51.743
61,1,0.0,0.0,3.7948,6.6568,1.8496,1.0576,1.5904,0.8307,15.66,11.211,51.752
62,1,0.0,0.0,3.7948,6.6648,1.8498,1.0572,1.5903,0.8307,15.6,11.715,51.752
63,1,0.0,0.0,3.7948,6.6648,1.8501,1.0568,1.5904,0.8307,15.68,12.072,51.752
64,1,0.0,0.0,3.7948,6.6648,1.8504,1.0564,1.5902,0.8307,15.54,11.977,51.752
65,1,0.0,0.0,3.7948,6.6529,1.8507,1.056,1.5901,0.8294,15.48,11.883,51.743
66,1,0.0,0.0,3.7948,6.6529,1.8511,1.0556,1.5899,0.8294,15.47,11.784,51.743
67,1,0.0,0.0,3.7948,6.6608,1.8516,1.0552,1.5897,0.8307,15.54,12.175,51.752
68,1,0.0,0.0,3.7948,6.6529,1.8519,1.0547,1.5895,0.8294,15.47,11.962,51.743
69,1,0.0,0.0,3.7948,6.6608,1.8521,1.0542,1.5893,0.8307,15.4,11.964,51.767
70,1,0.0,0.0,3.7948,6.6569,1.8527,1.0538,1.5891,0.8294,15.49,11.894,51.743
71,1,0.0,0.0,3.7948,6.6691,1.853,1.0532,1.5889,0.8308,15.48,11.731,51.755
72,1,0.0,0.0,3.7948,6.6691,1.8535,1.0528,1.5888,0.8308,15.54,12.068,51.755
73,1,0.0,0.0,3.7948,6.6818,1.8536,1.0523,1.5885,0.8311,15.47,12.061,51.778
74,1,0.0,0.0,3.7948,6.6897,1.8539,1.0518,1.5884,0.833,15.58,12.154,51.834
75,1,0.0,0.0,3.7948,6.694,1.8542,1.0513,1.5883,0.8332,15.55,11.985,51.856
76,1,0.0,0.0,3.7948,6.7101,1.8546,1.0508,1.5883,0.8333,15.67,12.088,51.856
77,1,0.0,0.0,3.7948,6.7275,1.855,1.0503,1.5882,0.8338,15.57,11.955,51.874
78,1,0.0,0.0,3.7948,6.7536,1.8556,1.0498,1.5882,0.8338,15.64,11.857,51.874
79,1,0.0,0.0,3.7948,6.7459,1.8558,1.0493,1.5881,0.8338,15.52,11.867,51.874
80,1,0.0,0.0,3.7948,6.7395,1.8563,1.0488,1.5881,0.8338,15.65,11.817,51.874
81,1,0.0,0.0,3.7948,6.7478,1.8567,1.0483,1.5881,0.8346,15.65,11.848,51.899
82,1,0.0,0.0,3.7948,6.7483,1.8571,1.0478,1.5881,0.8338,15.67,11.894,51.874
83,1,0.0,0.0,3.7948,6.7358,1.8576,1.0473,1.5881,0.8339,15.69,11.637,51.891
84,1,0.0,0.0,3.7948,6.7324,1.8581,1.0468,1.5882,0.8338,15.73,11.883,51.874
85,1,0.0,0.0,3.7948,6.7444,1.8586,1.0463,1.5883,0.8338,15.69,12.068,51.874
86,1,0.0,0.0,3.7948,6.7527,1.8592,1.0458,1.5885,0.8338,15.82,11.876,51.874
87,1,0.0,0.0,3.7948,6.7444,1.8597,1.0453,1.5887,0.8338,15.81,11.824,51.874
88,1,0.0,0.0,3.7948,6.7574,1.8602,1.0449,1.5889,0.8337,15.8,11.62,51.869
89,1,0.0,0.0,3.7948,6.7576,1.8607,1.0444,1.5891,0.8337,15.8,11.712,51.869
90,1,0.0,0.0,3.7948,6.7743,1.8613,1.0439,1.5893,0.8339,15.81,11.424,51.891
91,1,0.0,0.0,3.7948,6.7869,1.8621,1.0434,1.5897,0.8339,15.97,11.018,51.891
92,1,0.0,0.0,3.7948,6.8048,1.8628,1.0429,1.59,0.8357,15.91,11.114,51.917
93,1,0.0,0.0,3.7948,6.8155,1.8637,1.0424,1.5904,0.8355,15.95,11.401,51.895
94,1,0.0,0.0,3.7948,6.8325,1.8642,1.0419,1.5907,0.8355,15.93,11.4,51.896
95,1,0.0,0.0,3.7948,6.8652,1.8653,1.0414,1.5912,0.8359,16.06,11.119,51.918
96,1,0.0,0.0,3.7948,6.8504,1.8665,1.0409,1.5918,0.8356,16.13,10.959,51.896
97,1,0.0,0.0248,3.7948,6.8846,1.8676,1.0404,1.5924,0.8367,16.1,11.171,51.961
98,1,0.0,0.0407,3.7948,6.9198,1.8686,1.0399,1.5929,0.8379,16.05,11.205,51.985
99,1,0.0,0.0407,3.7948,6.9225,1.8697,1.0394,1.5935,0.8386,16.11,11.155,51.986
100,1,0.0,0.0407,3.7948,6.9465,1.8704,1.0388,1.5941,0.8365,16.19,11.283,51.948
101,1,0.0,0.0778,3.7948,6.9471,1.8722,1.0384,1.595,0.8364,16.4,11.119,51.944
102,1,0.0,0.0498,3.7948,6.9481,1.8738,1.038,1.596,0.837,16.43,10.276,51.942
103,1,0.0,0.0498,3.7948,6.965,1.8749,1.0375,1.5969,0.8384,16.34,10.522,51.962
104,1,0.0,0.0657,3.7948,6.9704,1.8768,1.0371,1.5979,0.8378,16.5,10.55,51.971
105,1,0.0,0.0867,3.7948,6.9788,1.8785,1.0366,1.5988,0.8378,16.37,10.498,51.971
106,1,0.0,0.0867,3.7948,6.9924,1.8801,1.0361,1.5998,0.8374,16.51,10.377,51.967
107,1,0.0,0.0867,3.7948,6.9723,1.8817,1.0357,1.6009,0.8379,16.51,10.339,51.964
108,1,0.0,0.0867,3.7948,6.9807,1.8837,1.0352,1.602,0.8383,16.57,9.823,51.967
109,1,0.0,0.0867,3.7948,6.9851,1.8854,1.0347,1.6031,0.8383,16.5,9.773,51.967
110,1,0.0,0.0867,3.7948,7.006,1.8866,1.0342,1.604,0.8389,16.39,10.636,51.979
111,1,0.0,0.0867,3.7948,7.0145,1.8884,1.0337,1.6051,0.8385,16.51,10.581,51.977
112,1,0.0,0.0993,3.7948,7.0264,1.89,1.0332,1.606,0.8391,16.41,10.134,52.001
113,1,0.0,0.0899,3.7948,7.021,1.8917,1.0327,1.607,0.839,16.45,10.209,52.0
114,1,0.0,0.0742,3.7948,7.0045,1.8933,1.0322,1.608,0.8386,16.42,10.187,51.982
115,1,0.0,0.0899,3.7948,7.0054,1.8953,1.0317,1.609,0.8393,16.52,9.838,52.01
116,0,0.0035,0.1235,3.7948,7.045,1.897,1.0312,1.6101,0.839,16.53,9.989,51.984
117,0,0.016,0.136,3.7948,7.062,1.8989,1.0307,1.6112,0.8397,16.53,10.409,52.011
118,0,0.0419,0.1619,3.7948,7.0842,1.9007,1.0302,1.6123,0.8384,16.52,10.131,51.934
119,0,0.0425,0.1625,3.7948,7.074,1.9024,1.0297,1.6134,0.8387,16.5,9.964,51.949
120,0,0.0495,0.1695,3.7948,7.0871,1.9042,1.0292,1.6144,0.8402,16.51,10.154,51.974
121,0,0.0412,0.1612,3.7948,7.0958,1.9062,1.0286,1.6155,0.8414,16.48,10.047,51.975
122,0,0.071,0.191,3.7948,7.1215,1.9084,1.0281,1.6167,0.842,16.64,9.618,51.956
123,0,0.0637,0.1837,3.7948,7.1454,1.9108,1.0276,1.618,0.8421,16.64,9.336,51.962
124,0,0.0403,0.1603,3.7948,7.1212,1.9129,1.0271,1.6191,0.8419,16.56,9.403,51.974
125,0,0.0417,0.1617,3.7948,7.1236,1.9153,1.0266,1.6203,0.8422,16.64,9.045,51.976
126,0,0.0414,0.1614,3.7948,7.1242,1.9173,1.0261,1.6215,0.8418,16.61,9.255,51.977
127,0,0.0279,0.1479,3.7948,7.1559,1.9195,1.0256,1.6227,0.8397,16.57,9.577,51.97
128,0,0.0516,0.1716,3.7948,7.1662,1.9213,1.0251,1.6238,0.8399,16.53,9.844,51.971
129,0,0.0524,0.1724,3.7948,7.1921,1.9231,1.0246,1.6248,0.8405,16.52,9.896,51.981
130,0,0.0505,0.1705,3.7948,7.1969,1.9251,1.024,1.626,0.8397,16.59,9.489,51.97
131,0,0.0723,0.1923,3.7948,7.2109,1.9269,1.0235,1.6271,0.8395,16.49,9.884,51.965
132,0,0.0323,0.1523,3.7948,7.1884,1.9288,1.023,1.6281,0.8387,16.49,10.086,51.961
133,0,0.0396,0.1596,3.7948,7.1868,1.9305,1.0225,1.6292,0.8404,16.54,9.889,51.968
134,0,0.0724,0.1924,3.7948,7.1873,1.9323,1.022,1.6304,0.8409,16.59,9.969,51.968
135,0,0.1308,0.2508,3.7948,7.2346,1.9343,1.0215,1.6315,0.8408,16.55,10.017,51.969
136,0,0.1181,0.2381,3.7948,7.2226,1.9362,1.021,1.6326,0.8421,16.5,9.807,51.973
137,0,0.1056,0.2256,3.7948,7.2186,1.9383,1.0205,1.6338,0.8417,16.64,9.691,51.969
138,0,0.1086,0.2286,3.7948,7.2093,1.9406,1.02,1.635,0.8409,16.62,9.432,51.969
139,0,0.1122,0.2322,3.7948,7.2029,1.9429,1.0194,1.6362,0.8408,16.61,9.194,51.969
140,0,0.1649,0.2849,3.7948,7.2073,1.9447,1.0189,1.6373,0.8396,16.49,9.469,51.965
141,0,0.1457,0.2657,3.7948,7.205,1.9472,1.0184,1.6385,0.8422,16.64,9.667,51.974
142,0,0.1414,0.2614,3.7948,7.1986,1.9494,1.0179,1.6397,0.8442,16.55,9.263,51.994
143,0,0.1723,0.2923,3.7948,7.2087,1.9521,1.0174,1.6409,0.8435,16.66,8.841,51.952
144,0,0.1601,0.2801,3.7948,7.1979,1.9543,1.0169,1.642,0.8429,16.53,8.809,51.939
145,0,0.1124,0.2324,3.7948,7.1879,1.9574,1.0164,1.6433,0.8421,16.71,8.606,51.919
146,0,0.1611,0.2811,3.7948,7.2052,1.9598,1.0159,1.6446,0.8411,16.65,8.549,51.936
147,0,0.1315,0.2515,3.7948,7.1835,1.9625,1.0153,1.6459,0.8411,16.67,8.865,51.946
148,0,0.1771,0.2971,3.7948,7.2059,1.9646,1.0148,1.647,0.8416,16.51,9.216,51.962
149,0,0.1682,0.2882,3.7948,7.1724,1.9671,1.0143,1.6482,0.841,16.69,9.037,51.933
150,0,0.1759,0.2959,3.7948,7.1715,1.9693,1.0138,1.6495,0.8407,16.67,9.276,51.944
151,0,0.1524,0.2724,3.7948,7.1793,1.9715,1.0133,1.6507,0.8405,16.58,9.434,51.923
152,0,0.1774,0.2974,3.7948,7.1974,1.9737,1.0128,1.6518,0.842,16.55,9.188,51.918
153,0,0.1577,0.2777,3.7948,7.181,1.9761,1.0123,1.653,0.8426,16.62,9.199,51.931
154,0,0.1202,0.2402,3.7948,7.168,1.9784,1.0118,1.6542,0.8416,16.62,9.136,51.945
155,0,0.1381,0.2581,3.7948,7.1653,1.9808,1.0113,1.6554,0.8409,16.61,8.943,51.933
156,0,0.1226,0.2426,3.7948,7.164,1.9835,1.0107,1.6566,0.8403,16.61,8.929,51.936
157,0,0.1367,0.2567,3.7948,7.164,1.986,1.0102,1.6578,0.8407,16.63,9.011,51.972
158,0,0.1367,0.2567,3.7948,7.1641,1.9885,1.0097,1.659,0.841,16.61,8.962,51.964
159,0,0.1374,0.2574,3.7948,7.1637,1.9906,1.0092,1.6601,0.8415,16.49,8.999,51.982
160,0,0.1355,0.2555,3.7948,7.167,1.9934,1.0087,1.6614,0.8411,16.7,8.462,51.975
161,0,0.1667,0.2867,3.7948,7.188,1.9956,1.0082,1.6625,0.8414,16.58,8.886,51.975
162,0,0.1712,0.2912,3.7948,7.1792,1.9974,1.0077,1.6635,0.841,16.45,9.622,51.981
163,0,0.1758,0.2958,3.7948,7.1837,2.0004,1.0072,1.6647,0.8419,16.63,8.889,51.992
164,0,0.1983,0.3183,3.7948,7.1972,2.0021,1.0066,1.6657,0.8426,16.41,8.887,51.992
165,0,0.1705,0.2905,3.7948,7.1796,2.0043,1.0061,1.6667,0.8422,16.46,9.51,51.997
166,0,0.1461,0.2661,3.7948,7.1662,2.0063,1.0056,1.6676,0.8422,16.37,9.473,51.997
167,0,0.2056,0.3256,3.7948,7.193,2.0089,1.0051,1.6689,0.8434,16.64,9.138,52.025
168,0,0.1658,0.2858,3.7948,7.1871,2.0109,1.0046,1.6699,0.8427,16.44,8.915,52.017
169,0,0.1582,0.2782,3.7948,7.1777,2.0137,1.0041,1.6711,0.8424,16.59,8.652,52.016
170,0,0.1515,0.2715,3.7948,7.1797,2.0162,1.0036,1.6722,0.8439,16.53,8.498,52.059
171,0,0.2137,0.3337,3.7948,7.1982,2.0182,1.0031,1.6731,0.8432,16.4,8.788,51.997
172,0,0.2024,0.3224,3.7948,7.1958,2.02,1.0025,1.674,0.8433,16.34,9.328,52.018
173,0,0.1954,0.3154,3.7948,7.1994,2.022,1.002,1.6749,0.8444,16.36,9.52,52.023
174,0,0.2096,0.3296,3.7948,7.224,2.0245,1.0015,1.6759,0.8436,16.46,8.9,52.031
175,0,0.2152,0.3352,3.7948,7.1994,2.0269,1.001,1.6771,0.8427,16.57,8.589,52.005
176,0,0.2529,0.3729,3.7948,7.2294,2.0292,1.0005,1.6781,0.8424,16.45,8.772,51.988
177,0,0.2381,0.3581,3.7948,7.2085,2.0316,1.0,1.6791,0.8431,16.45,8.651,52.042
178,0,0.2439,0.3639,3.7948,7.2149,2.0334,0.9995,1.68,0.8417,16.35,8.917,52.028
179,0,0.2779,0.3979,3.7948,7.223,2.0355,0.999,1.681,0.8417,16.42,9.242,52.008
180,0,0.2329,0.3529,3.7948,7.2033,2.0377,0.9984,1.6819,0.8388,16.41,9.045,51.922
181,0,0.2196,0.3396,3.7948,7.1985,2.0398,0.9979,1.6829,0.8387,16.41,9.163,51.917
182,0,0.2344,0.3544,3.7948,7.2146,2.0421,0.9974,1.6839,0.8371,16.44,9.123,51.888
183,0,0.2467,0.3667,3.7948,7.2181,2.0448,0.9969,1.6849,0.8386,16.5,8.887,51.933
184,0,0.2959,0.4159,3.7948,7.2279,2.0469,0.9964,1.6859,0.8385,16.37,9.206,51.921
185,0,0.2543,0.3743,3.7948,7.236,2.0494,0.9959,1.6869,0.8391,16.45,9.045,51.94
186,0,0.2392,0.3592,3.7948,7.2354,2.052,0.9954,1.688,0.8387,16.52,8.604,51.938
187,0,0.2785,0.3985,3.7948,7.2505,2.0543,0.9948,1.689,0.8433,16.49,8.814,52.002
188,0,0.2131,0.3331,3.7948,7.2283,2.0565,0.9943,1.6899,0.8415,16.39,9.156,51.99
189,0,0.2875,0.4075,3.7948,7.2443,2.0586,0.9938,1.6909,0.8402,16.43,9.213,51.951
190,0,0.2721,0.3921,3.7948,7.2614,2.061,0.9933,1.6919,0.8415,16.44,9.101,51.96
191,0,0.246,0.366,3.7948,7.2558,2.0631,0.9928,1.6929,0.8425,16.4,8.873,51.97
192,0,0.2447,0.3647,3.7948,7.2546,2.0657,0.9923,1.6939,0.8412,16.5,8.655,51.959
193,0,0.2476,0.3676,3.7948,7.2616,2.0678,0.9918,1.6948,0.8409,16.3,8.556,51.983
194,0,0.2453,0.3653,3.7948,7.2641,2.0698,0.9913,1.6957,0.8396,16.38,8.9,51.964
195,0,0.2312,0.3512,3.7948,7.2591,2.0717,0.9907,1.6965,0.8402,16.24,9.005,51.984
196,0,0.239,0.359,3.7948,7.257,2.0739,0.9902,1.6973,0.8389,16.33,9.002,51.945
197,0,0.2411,0.3611,3.7948,7.2365,2.0761,0.9897,1.6982,0.84,16.31,8.932,51.939
198,0,0.1971,0.3171,3.7948,7.2118,2.0781,0.9892,1.6989,0.8375,16.26,9.129,51.897
199,0,0.2228,0.3428,3.7948,7.2117,2.0803,0.9887,1.6999,0.8396,16.4,9.242,51.934
200,0,0.2155,0.3355,3.7948,7.2167,2.0825,0.9882,1.7007,0.8404,16.3,9.074,51.976
201,0,0.2437,0.3637,3.7948,7.221,2.085,0.9877,1.7017,0.8401,16.47,8.96,51.955
202,0,0.2437,0.3637,3.7948,7.2242,2.0874,0.9872,1.7027,0.8416,16.39,8.843,52.009
203,0,0.2419,0.3619,3.7948,7.211,2.0894,0.9866,1.7034,0.8408,16.27,9.083,51.966
204,0,0.24,0.36,3.7948,7.2063,2.0912,0.9861,1.7042,0.8414,16.2,9.198,51.976
205,0,0.2185,0.3385,3.7948,7.1992,2.093,0.9856,1.7049,0.8414,16.2,9.354,51.976
206,0,0.1951,0.3151,3.7948,7.2181,2.095,0.9851,1.7056,0.8421,16.22,9.156,52.035
207,0,0.2155,0.3355,3.7948,7.2318,2.0971,0.9846,1.7064,0.8417,16.26,9.12,52.009
208,0,0.207,0.327,3.7948,7.2139,2.0987,0.9841,1.707,0.8419,16.16,9.52,52.011
209,0,0.1742,0.2942,3.7948,7.2108,2.1007,0.9836,1.7077,0.8408,16.2,9.705,52.015
