rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
1,0,31.8763,14.6978,10.5843,18.7142,1.0418,1.0089,1.0262,0.9114,38.96,-17.485,53.158,
2,0,28.2088,14.1022,7.7742,18.4524,1.0838,1.0178,1.0523,0.9248,38.84,-18.231,53.334,0.05155
3,0,28.3619,14.5617,7.8062,18.114,1.1256,1.0267,1.0785,0.9201,38.96,-19.657,53.214,5.424731
4,0,28.1328,13.824,8.4223,18.0065,1.1674,1.0356,1.1046,0.9204,38.85,-21.117,53.187,8.895588
5,0,27.5358,13.1332,8.3357,18.187,1.2088,1.0452,1.1307,0.917,38.89,-22.751,53.209,2.596088
6,0,28.8769,16.1872,6.5183,18.2914,1.2509,1.0536,1.1567,0.9218,38.75,-24.08,53.478,6.039451
7,0,28.0826,13.3311,8.722,18.1494,1.2925,1.0625,1.1828,0.9134,38.9,-25.287,53.099,3.268921
8,0,27.6637,13.3111,8.5623,17.9103,1.3338,1.0714,1.2088,0.9166,38.78,-26.778,53.26,6.701766
9,0,29.5606,13.4708,9.8212,18.3887,1.3754,1.0801,1.2349,0.9177,38.84,-28.231,53.408,4.985363
10,0,29.277,15.0337,8.2674,18.0959,1.4164,1.0893,1.261,0.92,38.85,-29.711,53.25,2.317656
11,0,28.4406,13.0116,10.0873,17.4617,1.4575,1.0983,1.2869,0.9257,38.68,-31.017,53.481,2.789774
12,0,29.0944,13.2362,9.9855,17.9927,1.4992,1.1066,1.3125,0.9241,38.47,-32.215,53.482,2.443542
13,0,27.5841,13.0003,9.244,17.4597,1.5399,1.1156,1.3384,0.9189,38.71,-33.723,53.343,5.177568
14,0,28.5049,13.3767,9.2788,17.9694,1.5804,1.1247,1.3642,0.9227,38.57,-35.086,53.433,7.4307
15,0,28.5358,12.8803,10.0119,17.7636,1.6216,1.1335,1.3903,0.9121,38.91,-36.73,53.089,2.581264
16,0,26.3599,12.6319,8.6045,17.2436,1.6618,1.143,1.4162,0.9114,38.72,-37.991,53.05,6.363805
17,0,25.1784,11.8814,8.7601,16.6568,1.7025,1.1518,1.4422,0.9083,38.77,-39.179,52.993,3.377907
18,0,25.1139,11.4952,9.1629,16.5758,1.7428,1.1615,1.4681,0.9082,38.68,-40.824,53.021,7.896486
19,0,24.7798,11.3195,9.3972,16.1831,1.7831,1.1707,1.4937,0.9057,38.39,-42.201,53.049,3.095746
20,0,24.4338,11.511,8.8763,16.1665,1.8226,1.1804,1.5192,0.9091,38.39,-43.171,53.119,3.171787
21,0,25.1636,11.38,9.5418,16.3618,1.8629,1.1896,1.5447,0.9029,38.33,-44.477,52.825,4.989793
22,0,24.5581,11.0222,9.9137,15.7422,1.903,1.1998,1.5704,0.9035,38.54,-46.243,52.793,4.754078
23,0,25.3759,11.2273,10.5662,15.7023,1.9434,1.2092,1.5959,0.9065,38.37,-47.596,52.89,3.949319
24,0,24.7515,11.3408,9.8984,15.6323,1.983,1.219,1.6216,0.9061,38.46,-48.72,52.84,2.70921
25,0,25.8702,11.6505,9.9475,16.3922,2.022,1.2289,1.6469,0.9072,38.22,-49.698,52.789,3.87735
26,0,25.3898,11.8341,9.2661,16.4096,2.0618,1.2385,1.6724,0.9006,38.36,-51.132,52.699,2.733413
27,0,23.8419,11.4559,8.655,15.8511,2.1011,1.2482,1.6978,0.9034,38.24,-52.609,52.883,3.066228
28,0,23.7349,11.3381,8.5958,15.921,2.1402,1.2581,1.7232,0.9043,38.29,-53.663,52.831,2.271067
29,0,22.6886,11.0595,8.2002,15.5489,2.179,1.2677,1.7487,0.8964,38.34,-54.627,52.64,3.12558
30,0,22.8266,10.6045,8.8165,15.5256,2.2178,1.2777,1.7741,0.8929,38.26,-55.806,52.645,3.172878
31,0,23.6593,11.0434,8.7595,15.9764,2.2569,1.2872,1.7996,0.8902,38.41,-57.195,52.614,2.700259
32,0,23.7726,11.0797,8.7999,16.0131,2.2952,1.297,1.825,0.8947,38.24,-58.358,52.611,3.908544
33,0,23.5104,10.7618,9.0061,15.8625,2.3325,1.3078,1.8505,0.8899,38.41,-59.144,52.523,2.407613
34,0,22.6845,10.485,8.5726,15.7469,2.3705,1.3183,1.8762,0.8877,38.48,-60.643,52.427,3.447795
35,0,23.5026,11.4013,7.7574,16.4639,2.4077,1.329,1.9018,0.898,38.46,-61.964,52.717,2.463259
36,0,23.8071,11.3268,8.2362,16.364,2.4456,1.3391,1.9273,0.9012,38.33,-63.051,52.732,2.480547
37,0,22.3302,11.6889,6.4967,16.2646,2.4829,1.3492,1.9526,0.8938,38.18,-64.228,52.543,2.499074
38,0,22.2212,11.7089,6.4851,16.1473,2.5206,1.3593,1.978,0.8955,38.29,-65.699,52.635,2.703735
39,0,21.9802,11.1998,7.2782,15.6221,2.5567,1.3698,2.0031,0.8935,38.01,-66.116,52.573,0.591807
