rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
1,0,29.1963,14.6978,10.5843,18.7142,1.0413,1.0027,1.0262,0.9114,38.96,-17.485,53.158,
2,0,25.5288,14.1022,7.7742,18.4524,1.0829,1.0053,1.0523,0.9248,38.84,-18.198,53.334,0.05155
3,0,25.6819,14.5617,7.8062,18.114,1.1242,1.008,1.0785,0.9201,38.96,-19.564,53.214,5.424973
4,0,25.7534,13.925,8.6182,18.0103,1.1656,1.0106,1.1046,0.9193,38.85,-20.962,53.168,8.895539
5,0,24.8773,13.1932,8.2695,18.2147,1.2065,1.0139,1.1307,0.9163,38.88,-22.527,53.172,2.597193
6,0,26.5676,16.3303,6.7369,18.3005,1.2482,1.0162,1.1567,0.9218,38.75,-23.781,53.482,6.037367
7,0,25.893,13.2131,9.2857,18.1942,1.2894,1.0187,1.1828,0.9121,38.9,-24.916,53.048,3.266612
8,0,24.903,13.2428,8.5874,17.8727,1.3302,1.0214,1.2088,0.9167,38.79,-26.366,53.253,6.694799
9,0,27.1318,14.4555,9.1268,18.3495,1.3715,1.0238,1.2349,0.9134,38.84,-27.785,53.286,4.994518
10,0,26.8795,16.2594,7.3432,18.0768,1.4121,1.0268,1.261,0.9186,38.85,-29.205,53.219,2.320328
11,0,24.9934,13.2784,9.0704,17.4446,1.4528,1.0294,1.2869,0.9216,38.68,-30.437,53.38,2.790775
12,0,26.1017,13.4268,9.3866,18.0883,1.4941,1.0315,1.3126,0.922,38.5,-31.605,53.319,2.42797
13,0,24.4774,12.8276,8.9085,17.5413,1.5345,1.0341,1.3384,0.9206,38.69,-33.024,53.404,5.167631
14,0,25.8281,13.5688,8.7171,18.3422,1.5746,1.0368,1.3642,0.9224,38.58,-34.271,53.419,7.401127
15,0,26.0253,13.0075,9.7877,18.0301,1.6154,1.0395,1.3904,0.9154,38.91,-35.915,53.158,2.578783
16,0,24.5293,12.5956,9.2825,17.4512,1.655,1.0428,1.4163,0.9145,38.74,-37.082,53.119,6.309867
17,0,23.87,12.2501,9.3111,17.1088,1.6952,1.0455,1.4423,0.9136,38.81,-38.176,53.114,3.38394
18,0,23.3506,11.95,9.3751,16.8255,1.7349,1.049,1.4682,0.9107,38.68,-39.73,53.118,7.864327
19,0,22.3051,11.6833,9.0219,16.3999,1.7748,1.0519,1.4938,0.907,38.42,-41.029,53.098,3.086732
20,0,21.7432,11.6327,8.6692,16.2413,1.8139,1.0554,1.5194,0.9099,38.46,-41.993,53.044,3.140821
21,0,22.6634,11.6528,9.3255,16.4851,1.8535,1.0584,1.5449,0.906,38.31,-43.135,52.904,4.944846
22,0,21.4963,11.1574,9.3057,15.8332,1.8931,1.0623,1.5706,0.9062,38.54,-44.762,52.867,4.771454
23,0,23.2414,11.4065,10.6337,16.0013,1.9329,1.0655,1.5962,0.9142,38.39,-46.079,53.022,3.932385
24,0,23.1154,11.5531,10.2285,16.1338,1.972,1.0691,1.6218,0.9113,38.48,-47.168,52.883,2.682116
25,0,23.2882,12.1274,9.4201,16.5406,2.0105,1.0727,1.6471,0.9069,38.19,-48.075,52.754,3.880275
26,0,22.4029,12.1526,8.8951,16.1553,2.0498,1.0761,1.6726,0.897,38.32,-49.407,52.575,2.746063
27,0,21.0117,11.4598,8.4284,15.9235,2.0886,1.0796,1.6979,0.898,38.23,-50.851,52.737,3.06387
28,0,21.916,11.6202,8.883,16.2129,2.1272,1.0832,1.7233,0.9051,38.25,-51.845,52.789,2.288033
29,0,20.3564,11.0003,8.5217,15.6344,2.1655,1.0865,1.7488,0.8972,38.32,-52.725,52.617,3.080848
30,0,19.8581,10.4167,8.8444,15.397,2.2038,1.0904,1.7742,0.8957,38.28,-53.852,52.589,3.176544
31,0,21.2332,10.9077,9.0549,16.0706,2.2425,1.0936,1.7998,0.8892,38.44,-55.177,52.572,2.704957
32,0,21.2243,10.8856,9.1179,16.0208,2.2803,1.0971,1.8251,0.8891,38.25,-56.327,52.528,3.908275
33,0,20.7196,10.751,8.9006,15.868,2.317,1.1017,1.8507,0.8917,38.38,-56.964,52.549,2.366623
34,0,19.959,10.4626,8.5225,15.7739,2.3545,1.106,1.8763,0.8844,38.47,-58.274,52.405,3.41287
35,0,20.9823,11.4035,7.8421,16.5367,2.3912,1.1104,1.9019,0.8971,38.47,-59.576,52.628,2.45767
36,0,20.772,11.2747,8.025,16.2723,2.4285,1.1144,1.9274,0.9013,38.32,-60.599,52.751,2.419535
37,0,19.3044,11.369,6.697,16.0384,2.4653,1.1184,1.9528,0.8936,38.23,-61.755,52.54,2.504655
38,0,19.3892,11.4934,6.608,16.0877,2.5026,1.1223,1.9782,0.8927,38.32,-63.282,52.557,2.70321
39,0,19.9847,11.4402,7.4652,15.8793,2.5383,1.1267,2.0034,0.896,38.08,-63.693,52.626,0.576803
40,0,19.9429,11.7669,6.8827,16.0934,2.5754,1.1307,2.0289,0.8993,38.38,-64.837,52.709,4.048785
41,0,19.8423,11.903,6.5518,16.1875,2.6121,1.1351,2.0544,0.8941,38.36,-66.722,52.604,4.12351
42,0,20.266,11.8054,7.0305,16.2301,2.6486,1.1398,2.0801,0.8957,38.47,-67.734,52.655,3.748831
43,0,19.4272,11.6322,6.6842,15.9107,2.6848,1.144,2.1055,0.8959,38.3,-68.531,52.778,2.821275
44,0,19.4661,11.4534,7.1105,15.7022,2.7214,1.1489,2.1309,0.8997,38.28,-69.91,52.863,2.557953
45,0,18.0139,10.8928,6.7342,15.1869,2.7574,1.1534,2.1561,0.8878,38.08,-70.926,52.47,2.198642
46,0,18.6363,10.7182,7.4024,15.3158,2.7938,1.158,2.1814,0.8889,38.21,-71.981,52.512,3.269607
